MOVIE_ID,MOVIE_NAME,TITULO_LIMPIO,FORMATO,IDIOMA,CATEGORIA,DESCRIPCION,FAMILIA,NOMBRE_ORIGINAL,DESCRIPCION2,ACTOR_PRINCIPAL,DIRECTOR,DURACION,CATEGORIA_CINEPOLIS,NOMBRE_ORIGINAL_CLEAN,TITULO_LIMPIO_CLEAN,NOMBRE_UNICO
2003,Una película de Minecraft Sub,UNA PELÍCULA DE MINECRAFT SUB,2D,SUB,,,UNA PELÍCULA DE MINECRAFT,Una película de Minecraft Sub,,,,101 minutos,,UNA PELÍCULA DE MINECRAFT,UNA PELÍCULA DE MINECRAFT,PELÍCULA DE MINECRAFT
290,Lilo y Stitch SP Esp,LILO Y STITCH SP ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch SP Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
2001,Jurassic World: Renace ESP,JURASSIC WORLD: RENACE ESP,2D,ESP,,,JURASSIC WORLD,Jurassic World: Renace ESP,,,,134 minutos,,JURASSIC WORLD: RENACE,JURASSIC WORLD: RENACE,JURASSIC WORLD RENACE
21,Thunderbolts* Esp,THUNDERBOLTS* ESP,2D,ESP,,,THUNDERBOLTS*,Thunderbolts* Esp,,,,127 minutos,,THUNDERBOLTS*,THUNDERBOLTS*,THUNDERBOLTS
1999,Exterminio: La Evolución Sub,EXTERMINIO: LA EVOLUCIÓN SUB,2D,SUB,,,EXTERMINIO,Exterminio: La Evolución Sub,,,,115 minutos,,EXTERMINIO: LA EVOLUCIÓN,EXTERMINIO: LA EVOLUCIÓN,EXTERMINIO LA EVOLUCIÓN
2003,Una Película De Minecraft 4DX/3D Esp,UNA PELÍCULA DE MINECRAFT 4DX/3D ESP,2D,ESP,,,UNA PELÍCULA DE MINECRAFT,Una Película De Minecraft 4DX/3D Esp,,,,101 minutos,,UNA PELÍCULA DE MINECRAFT,UNA PELÍCULA DE MINECRAFT,PELÍCULA DE MINECRAFT
2005,Cónclave Sub,CÓNCLAVE SUB,2D,SUB,,,CÓNCLAVE,Cónclave Sub,,,,120 minutos,,CÓNCLAVE,CÓNCLAVE,CÓNCLAVE
2006,El Esquema Fenicio Sub,EL ESQUEMA FENICIO SUB,2D,SUB,,,EL ESQUEMA FENICIO,El Esquema Fenicio Sub,,,,101 minutos,,EL ESQUEMA FENICIO,EL ESQUEMA FENICIO,ESQUEMA FENICIO
2007,#RUNSEOKJIN EP.TOUR en Vivo desde Amsterdam Sub,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM SUB,2D,SUB,,,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,#RUNSEOKJIN EP.TOUR en Vivo desde Amsterdam Sub,,,,165 minutos,,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,RUNSEOKJIN EP TOUR EN VIVO DESDE AMSTERDAM
2008,El Conjuro 4: Últimos Ritos Esp,EL CONJURO 4: ÚLTIMOS RITOS ESP,2D,ESP,,,EL CONJURO 4,El Conjuro 4: Últimos Ritos Esp,,,,136 minutos,,EL CONJURO 4: ÚLTIMOS RITOS,EL CONJURO 4: ÚLTIMOS RITOS,CONJURO 4 ÚLTIMOS RITOS
27,Tiempo De Guerra Sub,TIEMPO DE GUERRA SUB,2D,SUB,,,TIEMPO DE GUERRA,Tiempo De Guerra Sub,,,,96 minutos,,TIEMPO DE GUERRA,TIEMPO DE GUERRA,TIEMPO DE GUERRA
64,Superman Sub,SUPERMAN SUB,2D,SUB,,,SUPERMAN,Superman Sub,,,,129 minutos,,SUPERMAN,SUPERMAN,SUPERMAN
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
2009,Otro Viernes De Locos Esp,OTRO VIERNES DE LOCOS ESP,2D,ESP,,,OTRO VIERNES DE LOCOS,Otro Viernes De Locos Esp,,,,111 minutos,,OTRO VIERNES DE LOCOS,OTRO VIERNES DE LOCOS,OTRO VIERNES DE LOCOS
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
604,DAN DA DAN: EVIL EYE Sub,DAN DA DAN: EVIL EYE SUB,2D,SUB,,,DAN DA DAN,DAN DA DAN: EVIL EYE Sub,,,,93 minutos,,DAN DA DAN: EVIL EYE,DAN DA DAN: EVIL EYE,DAN DA DAN EVIL EYE
2010,La Hora De La Desaparición Sub,LA HORA DE LA DESAPARICIÓN SUB,2D,SUB,,,LA HORA DE LA DESAPARICIÓN,La Hora De La Desaparición Sub,,,,128 minutos,,LA HORA DE LA DESAPARICIÓN,LA HORA DE LA DESAPARICIÓN,HORA DE LA DESAPARICIÓN
2011,El Amateur: Operación Venganza Sub,EL AMATEUR: OPERACIÓN VENGANZA SUB,2D,SUB,,,EL AMATEUR,El Amateur: Operación Venganza Sub,,,,123 minutos,,EL AMATEUR: OPERACIÓN VENGANZA,EL AMATEUR: OPERACIÓN VENGANZA,AMATEUR OPERACIÓN VENGANZA
2012,Cómo Entrenar A Tu Dragón Esp,CÓMO ENTRENAR A TU DRAGÓN ESP,2D,ESP,,,CÓMO ENTRENAR A TU DRAGÓN,Cómo Entrenar A Tu Dragón Esp,,,,126 minutos,,CÓMO ENTRENAR A TU DRAGÓN,CÓMO ENTRENAR A TU DRAGÓN,CÓMO ENTRENAR A TU DRAGÓN
21,Thunderbolts* Esp,THUNDERBOLTS* ESP,2D,ESP,,,THUNDERBOLTS*,Thunderbolts* Esp,,,,127 minutos,,THUNDERBOLTS*,THUNDERBOLTS*,THUNDERBOLTS
2009,Otro Viernes De Locos Sub,OTRO VIERNES DE LOCOS SUB,2D,SUB,,,OTRO VIERNES DE LOCOS,Otro Viernes De Locos Sub,,,,111 minutos,,OTRO VIERNES DE LOCOS,OTRO VIERNES DE LOCOS,OTRO VIERNES DE LOCOS
29,Destino Final: Lazos De Sangre Esp,DESTINO FINAL: LAZOS DE SANGRE ESP,2D,ESP,,,DESTINO FINAL,Destino Final: Lazos De Sangre Esp,,,,110 minutos,,DESTINO FINAL: LAZOS DE SANGRE,DESTINO FINAL: LAZOS DE SANGRE,DESTINO FINAL LAZOS DE SANGRE
2013,Demon Slayer: El Tren Infinito 4DX/2D Sub,DEMON SLAYER: EL TREN INFINITO 4DX/2D SUB,2D,SUB,,,DEMON SLAYER,Demon Slayer: El Tren Infinito 4DX/2D Sub,,,,123 minutos,,DEMON SLAYER: EL TREN INFINITO,DEMON SLAYER: EL TREN INFINITO,DEMON SLAYER EL TREN INFINITO
64,Superman Esp,SUPERMAN ESP,2D,ESP,,,SUPERMAN,Superman Esp,,,,129 minutos,,SUPERMAN,SUPERMAN,SUPERMAN
2008,El Conjuro 4: Últimos Ritos Esp,EL CONJURO 4: ÚLTIMOS RITOS ESP,2D,ESP,,,EL CONJURO 4,El Conjuro 4: Últimos Ritos Esp,,,,136 minutos,,EL CONJURO 4: ÚLTIMOS RITOS,EL CONJURO 4: ÚLTIMOS RITOS,CONJURO 4 ÚLTIMOS RITOS
21,Thunderbolts* Sub,THUNDERBOLTS* SUB,2D,SUB,,,THUNDERBOLTS*,Thunderbolts* Sub,,,,127 minutos,,THUNDERBOLTS*,THUNDERBOLTS*,THUNDERBOLTS
64,Superman 4DX/3D Dob,SUPERMAN 4DX/3D DOB,4D,DUB,,,SUPERMAN,Superman 4DX/3D Dob,,,,129 minutos,,SUPERMAN,SUPERMAN,SUPERMAN
344,Memorias De Un Caracol Esp,MEMORIAS DE UN CARACOL ESP,2D,ESP,,,MEMORIAS DE UN CARACOL,Memorias De Un Caracol Esp,,,,95 minutos,,MEMORIAS DE UN CARACOL,MEMORIAS DE UN CARACOL,MEMORIAS DE UN CARACOL
