INTERVAL_TYPE,USD_BIN_INIT,USD_BIN_END,BIN_WIDTH,FREQUENCY,TOTAL_ECR,ECR_DENSITY,PERCENTAGE_OF_TOTAL_ECR_DIVIDED_BY_WIDTH,PERCENTAGE_OF_TOTAL_ECR,PERCENTAGE_OF_APPROVED_ORDERS,PERCENTAGE_OF_TOTAL_PROCESSOR_FEES_USD,ORDER_DENSITY
LARGE,103,814,711,25752,291621,410,0.09,66.47,66.04,66.47,36.22
SMALL,759,760,1,73,2339,2339,0.53,0.53,0.19,0.53,73
